Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP
Fred Onyedinma,eng ENG,"DF,MF",26.0,,4,407.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,9.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Luton Town,8.0,,,,,,,,,,,,,,,,0.0,5.0,2.0,40.0,1.11,0.44,0.0,0.0,12.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,91,135,67.4,1431,352,45,58,77.6,42,61,68.9,2,7,28.6,0,0.1,0.1,-0.1,2,4,2,1,6
Mads Juel Andersen,dk DEN,DF,25.0,,4,400.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,7.0,1.0,0.23,0.0,0.23,0.23,0.23,0.06,0.0,0.06,0.06,0.06,Matches,Luton Town,8.0,,,,,,,,,,,,,,,,1.0,3.0,1.0,33.3,0.68,0.23,0.33,1.0,9.2,0.0,0.0,0.0,0.3,0.3,0.09,0.7,0.7,87,117,74.4,1570,766,41,47,87.2,37,48,77.1,9,19,47.4,0,0.0,0.0,0.0,0,7,0,0,7
Cauley Woodrow,eng ENG,"FW,MF",28.0,,2,427.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.2,2.6,7.0,6.0,22.0,0.21,0.21,0.42,0.21,0.42,0.3,0.25,0.55,0.3,0.55,Matches,Luton Town,24.0,,,,,,,,,,,,,,,,1.0,16.0,4.0,25.0,3.37,0.84,0.06,0.25,18.7,1.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,110,152,72.4,1530,250,66,82,80.5,31,40,77.5,4,12,33.3,1,1.2,0.9,-0.2,9,5,4,4,6
Luke Berry,eng ENG,"MF,DF",31.0,,2,323.0,3.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,1.0,8.0,7.0,0.56,0.28,0.84,0.56,0.84,0.28,0.07,0.35,0.28,0.35,Matches,Luton Town,17.0,,,,,,,,,,,,,,,,2.0,8.0,4.0,50.0,2.23,1.11,0.25,0.5,10.9,0.0,0.0,0.0,1.0,1.0,0.13,1.0,1.0,64,99,64.6,984,310,38,45,84.4,18,32,56.3,6,15,40.0,1,0.3,0.1,+0.7,2,5,0,0,8
Joseph Johnson,eng ENG,DF,17.0,,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Luton Town,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,30,36,83.3,646,228,9,9,100.0,16,17,94.1,5,9,55.6,0,0.0,0.0,0.0,0,1,0,0,2
James Shea,eng ENG,GK,32.0,,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Luton Town,1.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6,9,66.7,239,215,0,0,,3,3,100.0,3,6,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Zack Nelson,eng ENG,"MF,DF",18.0,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Luton Town,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,100.0,41,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Allan Campbell,sct SCO,MF,25.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Chigozie,eng ENG,DF,16.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan Francis,eng ENG,DF,19.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
